set,image,mosaic,image_fn,mosaic_fn,mosaiced_fn,method,n,alpha,kappa,usm,demosaic_fn,PSNRAll,PSNRGray,PSNRR,PSNRG,PSNRB,SSIMAll,SSIMGray,SSIMR,SSIMG,SSIMB
IMAX,01.png,amba1,../images/imagesIMAX/McM/01.tif,../images/mosaics/amba1mosaicIMAX.mat,../images/imagesIMAX/mosaicedMcM/amba1rawmcm01.tiff,iso,50,0.24,,,../images_demosaiced/IMAX_01.png_amba1_iso_n050.png,3.388909e+01,3.400565e+01,3.464393e+01,3.338843e+01,3.372982e+01,3.388909e+01,3.400565e+01,3.464393e+01,3.338843e+01,3.372982e+01
IMAX,01.png,amba1,../images/imagesIMAX/McM/01.tif,../images/mosaics/amba1mosaicIMAX.mat,../images/imagesIMAX/mosaicedMcM/amba1rawmcm01.tiff,ani,50,0.24,4.0,0.0,../images_demosaiced/IMAX_01.png_amba1_ani_n050_k4_u0.png,3.494390e+01,3.584180e+01,3.577018e+01,3.484616e+01,3.433505e+01,3.494390e+01,3.584180e+01,3.577018e+01,3.484616e+01,3.433505e+01
IMAX,01.png,amba1,../images/imagesIMAX/McM/01.tif,../images/mosaics/amba1mosaicIMAX.mat,../images/imagesIMAX/mosaicedMcM/amba1rawmcm01.tiff,ani,50,0.24,3.0,1.0,../images_demosaiced/IMAX_01.png_amba1_ani_n050_k3_u1.png,3.482076e+01,3.567566e+01,3.553721e+01,3.477570e+01,3.424543e+01,3.482076e+01,3.567566e+01,3.553721e+01,3.477570e+01,3.424543e+01
IMAX,01.png,amba1,../images/imagesIMAX/McM/01.tif,../images/mosaics/amba1mosaicIMAX.mat,../images/imagesIMAX/mosaicedMcM/amba1rawmcm01.tiff,aniL,50,0.24,4.0,0.0,../images_demosaiced/IMAX_01.png_amba1_aniL_n050_k4_u0.png,3.441654e+01,3.492458e+01,3.519975e+01,3.399023e+01,3.415582e+01,3.441654e+01,3.492458e+01,3.519975e+01,3.399023e+01,3.415582e+01
IMAX,01.png,amba1,../images/imagesIMAX/McM/01.tif,../images/mosaics/amba1mosaicIMAX.mat,../images/imagesIMAX/mosaicedMcM/amba1rawmcm01.tiff,aniL,50,0.24,3.0,1.0,../images_demosaiced/IMAX_01.png_amba1_aniL_n050_k3_u1.png,3.423141e+01,3.463740e+01,3.501591e+01,3.376164e+01,3.401528e+01,3.423141e+01,3.463740e+01,3.501591e+01,3.376164e+01,3.401528e+01
IMAX,01.png,amba1,../images/imagesIMAX/McM/01.tif,../images/mosaics/amba1mosaicIMAX.mat,../images/imagesIMAX/mosaicedMcM/amba1rawmcm01.tiff,nonlin,200,0.24,4.0,,../images_demosaiced/IMAX_01.png_amba1_nonlin_n200_k4.png,3.399884e+01,3.427552e+01,3.430789e+01,3.402064e+01,3.369004e+01,3.399884e+01,3.427552e+01,3.430789e+01,3.402064e+01,3.369004e+01
IMAX,01.png,amba1,../images/imagesIMAX/McM/01.tif,../images/mosaics/amba1mosaicIMAX.mat,../images/imagesIMAX/mosaicedMcM/amba1rawmcm01.tiff,nonlin,100,0.24,3.0,,../images_demosaiced/IMAX_01.png_amba1_nonlin_n100_k3.png,3.433724e+01,3.471371e+01,3.476165e+01,3.422381e+01,3.405705e+01,3.433724e+01,3.471371e+01,3.476165e+01,3.422381e+01,3.405705e+01
IMAX,01.png,amba1,../images/imagesIMAX/McM/01.tif,../images/mosaics/amba1mosaicIMAX.mat,../images/imagesIMAX/mosaicedMcM/amba1rawmcm01.tiff,nonlin,100,0.24,2.0,,../images_demosaiced/IMAX_01.png_amba1_nonlin_n100_k2.png,3.442103e+01,3.479182e+01,3.492172e+01,3.414218e+01,3.423995e+01,3.442103e+01,3.479182e+01,3.492172e+01,3.414218e+01,3.423995e+01
IMAX,02.png,amba1,../images/imagesIMAX/McM/02.tif,../images/mosaics/amba1mosaicIMAX.mat,../images/imagesIMAX/mosaicedMcM/amba1rawmcm02.tiff,iso,50,0.24,,,../images_demosaiced/IMAX_02.png_amba1_iso_n050.png,3.619796e+01,3.693974e+01,3.676713e+01,3.626945e+01,3.563212e+01,3.619796e+01,3.693974e+01,3.676713e+01,3.626945e+01,3.563212e+01
IMAX,02.png,amba1,../images/imagesIMAX/McM/02.tif,../images/mosaics/amba1mosaicIMAX.mat,../images/imagesIMAX/mosaicedMcM/amba1rawmcm02.tiff,ani,50,0.24,4.0,0.0,../images_demosaiced/IMAX_02.png_amba1_ani_n050_k4_u0.png,3.819564e+01,4.044884e+01,3.892323e+01,3.886706e+01,3.706458e+01,3.819564e+01,4.044884e+01,3.892323e+01,3.886706e+01,3.706458e+01
IMAX,02.png,amba1,../images/imagesIMAX/McM/02.tif,../images/mosaics/amba1mosaicIMAX.mat,../images/imagesIMAX/mosaicedMcM/amba1rawmcm02.tiff,ani,50,0.24,3.0,1.0,../images_demosaiced/IMAX_02.png_amba1_ani_n050_k3_u1.png,3.818524e+01,4.057309e+01,3.869179e+01,3.900955e+01,3.710306e+01,3.818524e+01,4.057309e+01,3.869179e+01,3.900955e+01,3.710306e+01
IMAX,02.png,amba1,../images/imagesIMAX/McM/02.tif,../images/mosaics/amba1mosaicIMAX.mat,../images/imagesIMAX/mosaicedMcM/amba1rawmcm02.tiff,aniL,50,0.24,4.0,0.0,../images_demosaiced/IMAX_02.png_amba1_aniL_n050_k4_u0.png,3.699688e+01,3.836149e+01,3.759358e+01,3.722599e+01,3.627894e+01,3.699688e+01,3.836149e+01,3.759358e+01,3.722599e+01,3.627894e+01
IMAX,02.png,amba1,../images/imagesIMAX/McM/02.tif,../images/mosaics/amba1mosaicIMAX.mat,../images/imagesIMAX/mosaicedMcM/amba1rawmcm02.tiff,aniL,50,0.24,3.0,1.0,../images_demosaiced/IMAX_02.png_amba1_aniL_n050_k3_u1.png,3.669826e+01,3.789347e+01,3.726243e+01,3.685755e+01,3.606179e+01,3.669826e+01,3.789347e+01,3.726243e+01,3.685755e+01,3.606179e+01
IMAX,02.png,amba1,../images/imagesIMAX/McM/02.tif,../images/mosaics/amba1mosaicIMAX.mat,../images/imagesIMAX/mosaicedMcM/amba1rawmcm02.tiff,nonlin,200,0.24,4.0,,../images_demosaiced/IMAX_02.png_amba1_nonlin_n200_k4.png,3.722547e+01,3.890872e+01,3.714268e+01,3.802559e+01,3.662222e+01,3.722547e+01,3.890872e+01,3.714268e+01,3.802559e+01,3.662222e+01
IMAX,02.png,amba1,../images/imagesIMAX/McM/02.tif,../images/mosaics/amba1mosaicIMAX.mat,../images/imagesIMAX/mosaicedMcM/amba1rawmcm02.tiff,nonlin,100,0.24,3.0,,../images_demosaiced/IMAX_02.png_amba1_nonlin_n100_k3.png,3.731330e+01,3.901482e+01,3.737359e+01,3.798773e+01,3.667762e+01,3.731330e+01,3.901482e+01,3.737359e+01,3.798773e+01,3.667762e+01
IMAX,02.png,amba1,../images/imagesIMAX/McM/02.tif,../images/mosaics/amba1mosaicIMAX.mat,../images/imagesIMAX/mosaicedMcM/amba1rawmcm02.tiff,nonlin,100,0.24,2.0,,../images_demosaiced/IMAX_02.png_amba1_nonlin_n100_k2.png,3.709048e+01,3.859565e+01,3.728141e+01,3.757644e+01,3.648776e+01,3.709048e+01,3.859565e+01,3.728141e+01,3.757644e+01,3.648776e+01
IMAX,03.png,amba1,../images/imagesIMAX/McM/03.tif,../images/mosaics/amba1mosaicIMAX.mat,../images/imagesIMAX/mosaicedMcM/amba1rawmcm03.tiff,iso,50,0.24,,,../images_demosaiced/IMAX_03.png_amba1_iso_n050.png,3.372189e+01,3.360326e+01,3.426132e+01,3.353322e+01,3.341830e+01,3.372189e+01,3.360326e+01,3.426132e+01,3.353322e+01,3.341830e+01
IMAX,03.png,amba1,../images/imagesIMAX/McM/03.tif,../images/mosaics/amba1mosaicIMAX.mat,../images/imagesIMAX/mosaicedMcM/amba1rawmcm03.tiff,ani,50,0.24,4.0,0.0,../images_demosaiced/IMAX_03.png_amba1_ani_n050_k4_u0.png,3.615533e+01,3.726313e+01,3.712039e+01,3.606250e+01,3.544515e+01,3.615533e+01,3.726313e+01,3.712039e+01,3.606250e+01,3.544515e+01
